open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2639.01	2639.5	2638.51	2639.5	119.8838	0.7626342809307971	1	0.0	0.00018946570670719254	0.0	0.3424000338923472
2639.5	2640.75	2639.5	2640.67	40.8007	1.0810722037808773	1	0.0	0.00044326577003217515	0.0	0.3424000338923472
2640.68	2640.68	2640.67	2640.67	14.0474	1.273925706076625	1	0.0	0.0	0.0	0.3424000338923472
2640.68	2640.94	2640.67	2640.94	13.3781	1.4390319503554565	1	0.0	0.00010224677827985751	0.0	0.3424000338923472
2640.95	2641.15	2640.95	2640.99	75.3562	1.533890372562837	1	0.0	1.8932652767533753e-05	0.0	0.3424000338923472
2640.99	2641.0	2640.8	2640.81	80.6886	1.5291848874467178	1	0.0	-6.815625958445093e-05	-0.0	0.3424000338923472
2640.81	2640.81	2640.8	2640.81	13.7806	1.4978529294207874	1	0.0	0.0	0.0	0.3424000338923472
2640.81	2640.95	2640.81	2640.95	23.6416	1.4802743781233403	1	0.0	5.3014037359799815e-05	0.0	0.3424000338923472
2640.95	2640.98	2640.94	2640.98	24.4785	1.447878122590737	1	0.0	1.1359548647282836e-05	0.0	0.3424000338923472
2640.97	2640.98	2640.72	2640.72	42.2142	1.3420303366801818	1	0.0	-9.844830328142873e-05	-0.0	0.3424000338923472
2640.73	2640.83	2640.02	2640.02	74.9496	1.0917259573998308	1	0.0	-0.0002650792208185315	-0.0	0.3424000338923472
2640.01	2640.7	2639.7	2640.12	376.6673	0.9264677139653941	1	0.0	3.7878500920518476e-05	0.0	0.3424000338923472
2640.12	2640.74	2640.11	2640.6	36.0085	0.9051390680951954	1	0.0	0.00018180991773109056	0.0	0.3424000338923472
2640.61	2640.67	2640.2	2640.67	38.6004	0.8896864878020097	1	0.0	2.650912671375849e-05	0.0	0.3424000338923472
2640.66	2640.67	2640.66	2640.66	21.648	0.8607492984301643	1	0.0	-3.786917714188043e-06	-0.0	0.3424000338923472
2640.67	2640.67	2638.77	2639.38	72.4868	0.5424134014133415	1	0.0	-0.0004847273030226251	-0.0	0.3424000338923472
